"Epic","ID","User Story","Critères d'acceptation","Priorité","Story Points","Sprint","Phase","Étiquettes"
"Finance - Analytique","ANA-002","Ventilation des charges par clés de répartition","Clés en % ou montant fixes ; répartition automatique à la validation de l'écriture","Must Have","8","11","Phase 1","finance,analytics,allocation"
"Finance - Analytique","ANA-003","Calcul du coût de revient (méthode ABC et standard)","Paramétrage des activités ; calcul automatique ; comparatif coût standard vs réel","Must Have","13","11","Phase 1","finance,costing,abc"
"Finance - Analytique","ANA-004","Budgets analytiques avec scénarios","Simulation What-If avec n scénarios ; graphiques comparatifs ; gel de scénarios","Should Have","8","12","Phase 1","finance,budget,scenario"
"Finance - Analytique","ANA-005","Dashboard financier temps réel","KPIs CA/marge/tréso actualisés toutes les 30s ; graphiques recharts interactifs","Must Have","13","12","Phase 1","finance,dashboard,kpi"
"Finance - Trésorerie","TRE-001","Gestion des comptes bancaires multi-devises","CRUD comptes bancaires ; positions en temps réel ; historique des mouvements","Must Have","8","11","Phase 1","finance,treasury,banking"
"Finance - Trésorerie","TRE-002","Prévisions de trésorerie (ML Prophet)","Horizon 7/30/90 jours ; courbe prévisionnelle vs réelle ; alertes seuil de trésorerie","Must Have","13","12","Phase 1","finance,treasury,forecast,ml"
"Finance - Trésorerie","TRE-003","Paiements SEPA (SCT, SDD) et virements SWIFT","Génération fichiers PAIN.001 ; envoi SWIFT ; suivi statuts retours PAIN.002","Must Have","13","13","Phase 1","finance,treasury,sepa,payments"
"Finance - Trésorerie","TRE-004","Rapprochement bancaire EBICS","Import MT940 automatique via EBICS T/TS ; mapping vers écritures comptables","Must Have","13","13","Phase 1","finance,treasury,ebics"
"Finance - Trésorerie","TRE-005","Gestion des lignes de crédit et emprunts","Saisie des tirages/remboursements ; calcul des intérêts ; tableau d'amortissement","Must Have","8","14","Phase 1","finance,treasury,credit"
"Finance - Trésorerie","TRE-006","Cash pooling notionnel et physique","Paramétrage pool de trésorerie ; calcul des positions nettes ; sweeping automatique","Could Have","8","14","Phase 1","finance,treasury,cash-pooling"
"RH - Personnel","RH-001","Dossier collaborateur complet","CRUD dossier (identité, contrat, compétences, carrière) ; upload documents ; historique","Must Have","13","15","Phase 2","hr,personnel,employee"
"RH - Personnel","RH-002","Gestion des contrats (CDI, CDD, intérim, alternance)","Création contrat par type ; alertes 3 mois avant échéance ; signature électronique DocuSign","Must Have","13","15","Phase 2","hr,contracts,docusign"
"RH - Personnel","RH-003","Organigramme dynamique interactif","Arbre hiérarchique cliquable ; filtres par département/site ; export PNG/PDF","Must Have","8","16","Phase 2","hr,org-chart,frontend"
"RH - Personnel","RH-004","Gestion des absences et congés","Soldes temps réel ; demande en ligne ; workflow approbation manager ; calendrier équipe","Must Have","13","16","Phase 2","hr,leaves,absence"
"RH - Personnel","RH-005","Workflow onboarding / offboarding","Checklists paramétrables ; affectation automatique des accès ; notifications RH et IT","Must Have","8","17","Phase 2","hr,onboarding,workflow"
"RH - Personnel","RH-006","Planning équipe et gestion des rotations","Vue planning hebdomadaire/mensuelle ; gestion des astreintes ; conflits détectés","Must Have","13","17","Phase 2","hr,planning,schedule"
"RH - Personnel","RH-007","Documents RH dématérialisés + signature électronique","Génération automatique des docs RH ; signature DocuSign API ; archivage sécurisé","Must Have","8","18","Phase 2","hr,documents,esign"
"RH - Paie","PAY-001","Moteur de calcul de paie paramétrable","Rubriques, cotisations, primes configurables ; calcul automatique au lancement de paie","Must Have","21","17","Phase 2","hr,payroll,engine"
"RH - Paie","PAY-002","Gestion multi-conventions collectives","Paramétrage CCN par établissement ; application automatique des taux par CCN","Must Have","13","18","Phase 2","hr,payroll,collective-agreement"
"RH - Paie","PAY-003","Calcul des charges patronales et salariales","Calcul automatique selon barèmes légaux ; vérification des plafonds SS ; historique","Must Have","13","18","Phase 2","hr,payroll,social-charges"
"RH - Paie","PAY-004","Génération bulletins de paie PDF","Template de bulletin paramétrable ; génération en masse ; envoi email sécurisé","Must Have","8","19","Phase 2","hr,payroll,payslip"
"RH - Paie","PAY-005","Portail self-service bulletins (ESS)","Accès sécurisé aux bulletins ; téléchargement PDF ; historique 5 ans","Must Have","5","19","Phase 2","hr,payroll,employee-portal"
"RH - Paie","PAY-006","DSN — Déclaration Sociale Nominative","Génération fichier DSN Phase 3 mensuel ; envoi NET-ENTREPRISES ; accusés de réception","Must Have","13","20","Phase 2","hr,payroll,dsn,compliance"
"RH - Paie","PAY-007","Fichiers SEPA de paiement des salaires","Génération PAIN.001 pour virement salaires ; multi-banques ; traçabilité paiements","Must Have","8","20","Phase 2","hr,payroll,sepa"
"RH - Paie","PAY-008","Gestion participation, intéressement, PEE/PERCO","Calcul de la réserve de participation ; intéressement configurable ; export vers teneur","Should Have","8","21","Phase 2","hr,payroll,savings"
"RH - Paie","PAY-009","Gestion des expatriés (double imposition)","Paramétrage pays d'origine/accueil ; calcul spécifique ; cotisations bifurcation","Could Have","8","21","Phase 2","hr,payroll,expatriate"
"RH - Recrutement","REC-001","ATS — Tableau Kanban candidatures","Pipeline personnalisable ; fiches candidat ; statuts Nouveau/Présélection/Entretien/Offre","Must Have","13","19","Phase 2","hr,ats,recruitment"
"RH - Recrutement","REC-002","Multidiffusion des offres d'emploi","Connexion APIs LinkedIn, Indeed ; publication en 1 clic ; suivi candidatures par source","Should Have","8","20","Phase 2","hr,recruitment,job-boards"
"RH - Recrutement","REC-003","Grilles d'évaluation des entretiens","Template d'évaluation par poste ; scoring collaboratif ; synthèse automatique","Must Have","8","20","Phase 2","hr,recruitment,evaluation"
"RH - Recrutement","REC-004","Entretiens annuels et GPEC","Formulaire d'entretien paramétrable ; objectifs SMART ; suivi des objectifs N+1","Must Have","13","21","Phase 2","hr,performance,gpec"
"RH - Recrutement","REC-005","Plan de formation et suivi CPF","Catalogue formations ; budgets ; inscription ; heures CPF ; suivi présences","Must Have","8","22","Phase 2","hr,training,cpf"
"RH - Recrutement","REC-006","Cartographie des compétences (matrices RADAR)","Définition référentiel compétences ; évaluation par poste ; graphique RADAR","Should Have","8","22","Phase 2","hr,skills,radar"
"RH - Recrutement","REC-007","Succession planning","Identification des potentiels ; plans de développement ; cartographie successeurs","Could Have","5","22","Phase 2","hr,succession,talent"
"Achats - P2P","ACH-001","Référentiel fournisseurs avec évaluation","CRUD fournisseur ; critères d'évaluation ; scoring automatique ; statut qualifié/blacklisté","Must Have","8","23","Phase 3","procurement,suppliers"
"Achats - P2P","ACH-002","Demandes d'achat avec workflow budgétaire","Formulaire DA ; contrôle de budget en temps réel ; workflow N niveaux paramétrable","Must Have","13","23","Phase 3","procurement,purchase-request,workflow"
"Achats - P2P","ACH-003","Appels d'offres (RFQ) multi-critères","Envoi RFQ à N fournisseurs ; grille de comparaison automatique ; choix avec justification","Must Have","13","24","Phase 3","procurement,rfq,sourcing"
"Achats - P2P","ACH-004","Génération et envoi des bons de commande","Génération PDF BC ; envoi email/EDI au fournisseur ; accusé de réception","Must Have","8","24","Phase 3","procurement,purchase-order,edi"
"Achats - P2P","ACH-005","Réception des marchandises (rapprochement 3-voies)","Saisie réception partielle/totale ; rapprochement BC/réception/facture automatique","Must Have","13","25","Phase 3","procurement,receiving,3-way-match"
"Achats - P2P","ACH-006","Factures fournisseurs avec OCR (Docparser)","Import PDF facture ; extraction automatique des champs via OCR ; validation manuelle","Must Have","13","25","Phase 3","procurement,invoices,ocr,docparser"
"Achats - P2P","ACH-007","Circuit de validation des factures fournisseurs","Workflow d'approbation ; gestion des litiges avec commentaires ; relance fournisseur","Must Have","8","26","Phase 3","procurement,invoices,workflow"
"Achats - P2P","ACH-008","Contrats-cadres et accords tarifaires","CRUD contrats ; grilles tarifaires par fournisseur ; application automatique au BC","Must Have","8","26","Phase 3","procurement,contracts,pricing"
"Achats - P2P","ACH-009","Calcul pénalités de retard et escomptes","Calcul automatique des pénalités de retard ; escomptes pour paiement anticipé","Should Have","5","27","Phase 3","procurement,invoices,penalties"
"Achats - P2P","ACH-010","Portail fournisseur self-service","Accès sécurisé ; consultation commandes/réceptions ; soumission factures ; suivi paiement","Must Have","13","27","Phase 3","procurement,supplier-portal"
"Logistique - WMS","WMS-001","Référentiel multi-entrepôts et emplacements","Création entrepôts/allées/rayons/cases ; plan géographique configurable ; capacités","Must Have","8","23","Phase 3","warehouse,wms,locations"
"Logistique - WMS","WMS-002","Réceptions avec contrôle qualité","Saisie réception par emplacement ; contrôle quantitatif et qualitatif ; mise en quarantaine","Must Have","13","24","Phase 3","warehouse,wms,receiving"
"Logistique - WMS","WMS-003","Mouvements de stock inter-dépôts","Demande de transfert ; validation ; mise à jour des stocks en temps réel","Must Have","8","25","Phase 3","warehouse,wms,transfers"
"Logistique - WMS","WMS-004","Préparation de commandes (pick-to-light, scan)","Listes de picking générées ; scan code-barres/QR validation ; alertes stock insuffisant","Must Have","13","25","Phase 3","warehouse,wms,picking,barcode"
"Logistique - WMS","WMS-005","Inventaires tournants et généraux","Sélection des articles à inventorier ; saisie comptages ; validation des écarts ; PV","Must Have","8","26","Phase 3","warehouse,wms,inventory"
"Logistique - WMS","WMS-006","Valorisation des stocks (FIFO, FEFO, CMUP)","Méthode de valorisation configurable par article ; valeur stock en temps réel","Must Have","13","26","Phase 3","warehouse,wms,valuation"
"Logistique - WMS","WMS-007","Traçabilité lot et numéro de série","Saisie n° lot/série à la réception ; traçabilité amont/aval ; rappel de lot","Must Have","13","27","Phase 3","warehouse,wms,traceability"
"Logistique - WMS","WMS-008","Calcul des seuils de réapprovisionnement","Stock minimum/maximum configurables ; alertes automatiques ; demandes d'achat auto","Must Have","8","28","Phase 3","warehouse,wms,replenishment"
"Logistique - Transport","TRP-001","Gestion des expéditions multi-transporteurs","Création expédition ; choix transporteur ; génération étiquettes ; confirmation départ","Must Have","13","28","Phase 3","logistics,transport,shipping"
"Logistique - Transport","TRP-002","Génération documents (BL, CMR, douanes)","BL auto depuis commande ; CMR pour transport routier ; déclarations douanières","Must Have","8","28","Phase 3","logistics,transport,documents"
"Logistique - Transport","TRP-003","Tracking temps réel via APIs transporteurs","Connexion API Chronopost, DHL, FedEx, Colissimo ; mise à jour statut automatique","Must Have","13","29","Phase 3","logistics,transport,tracking,api"
"Logistique - Transport","TRP-004","Optimisation des tournées (VRP)","Algorithme VRP pour calcul tournée optimale ; export feuille de route chauffeur","Should Have","13","29","Phase 3","logistics,transport,vrp,routing"
"Logistique - Transport","TRP-005","Portail tracking client","Accès public via lien sécurisé ; notifications SMS/email automatiques à chaque statut","Must Have","8","30","Phase 3","logistics,transport,customer-portal"
"CRM","CRM-001","Référentiel clients 360°","Fiche client complète (contacts, interactions, chiffre d'affaires, scoring) ; historique","Must Have","13","31","Phase 4","crm,customers,360"
"CRM","CRM-002","Pipeline commercial Kanban","Colonnes personnalisables ; drag & drop ; filtres par commercial/produit ; prévisions","Must Have","13","31","Phase 4","crm,pipeline,kanban"
"CRM","CRM-003","Gestion des opportunités avec probabilités","CRUD opportunité ; probabilité de closing ; alertes de suivi ; date limite","Must Have","8","32","Phase 4","crm,opportunities,forecast"
"CRM","CRM-004","Devis avec configurateur CPQ","Configurateur produit ; règles de prix et remises ; calcul marge ; envoi email","Must Have","13","32","Phase 4","crm,quotes,cpq,pricing"
"CRM","CRM-005","Gestion des activités (appels, RDV, emails)","Création d'activités liées ; rappels ; synchronisation Outlook/Gmail calendrier","Must Have","8","33","Phase 4","crm,activities,calendar"
"CRM","CRM-006","Campagnes marketing multicanal","Création campagne email/SMS/LinkedIn ; tracking ouvertures/clics ; taux conversion","Should Have","13","33","Phase 4","crm,marketing,campaigns"
"CRM","CRM-007","SAV — Tickets de support avec SLA","Création ticket ; affectation ; SLA avec alertes dépassement ; base de connaissance","Must Have","13","34","Phase 4","crm,support,tickets,sla"
"CRM","CRM-008","Intégration CTI (téléphonie)","Popup client à l'appel entrant ; enregistrement appel dans historique client","Could Have","8","34","Phase 4","crm,cti,telephony"
"CRM","CRM-009","Synchronisation Outlook/Gmail","OAuth2 pour Microsoft 365 et Google ; sync emails, contacts, calendrier bidirectionnel","Must Have","13","35","Phase 4","crm,integration,outlook,gmail"
"Ventes - ADV","ADV-001","Commandes clients avec allocation de stock","Transformation devis→commande ; réservation stock ; délai livraison calculé","Must Have","13","31","Phase 4","sales,orders,stock-allocation"
"Ventes - ADV","ADV-002","Facturation client (acomptes, avoirs)","Facture depuis commande ; gestion des acomptes ; avoirs et remboursements partiels","Must Have","13","32","Phase 4","sales,invoicing,billing"
"Ventes - ADV","ADV-003","Recouvrement avec relances automatiques","Workflow relances J+30, J+60, J+90 automatiques ; lettre de relance par email/courrier","Must Have","8","33","Phase 4","sales,collections,dunning"
"Ventes - ADV","ADV-004","Gestion des retours et notes de crédit","Bon de retour ; contrôle qualité retour ; note de crédit automatique","Must Have","8","34","Phase 4","sales,returns,credit-notes"
"Ventes - ADV","ADV-005","Statistiques commerciales (CA, marge, produit)","Tableaux de bord CA par commercial/client/produit/région ; graphiques interactifs","Must Have","8","35","Phase 4","sales,analytics,reporting"
"Ventes - ADV","ADV-006","Commissions et incentives commerciaux","Calcul des commissions par règle configurable ; simulateur ; validation manager","Should Have","8","35","Phase 4","sales,commissions,incentives"
"Ventes - ADV","ADV-007","Portail client self-service","Accès sécurisé ; consultation commandes, factures, BL, avoirs ; ouverture tickets","Must Have","13","36","Phase 4","sales,customer-portal"
"Production - MRP II","PRD-001","Nomenclatures multi-niveaux (BOM)","BOM jusqu'à 10 niveaux ; coefficients de perte ; versions et révisions ECO","Must Have","13","37","Phase 5","production,bom,mrp"
"Production - MRP II","PRD-002","Gammes opératoires avec ressources","Définition opérations, centres de charge, temps unitaires, outillages requis","Must Have","13","37","Phase 5","production,routing,resources"
"Production - MRP II","PRD-003","Configurateur de variantes (CPQ Production)","Gestion des attributs produit ; règles de configuration ; BOM dynamique","Should Have","13","38","Phase 5","production,configurator,variants"
"Production - MRP II","PRD-004","Plan Directeur de Production (PDP/MPS)","PDP sur horizon 12 semaines glissantes ; simulation de la demande ; validation","Must Have","13","38","Phase 5","production,mrp,mps,planning"
"Production - MRP II","PRD-005","Calcul des besoins nets (MRP II / CBN)","Lancement CBN ; calcul besoins composants ; génération propositions d'approvisionnement","Must Have","21","38","Phase 5","production,mrp,cbm,planning"
"Production - MRP II","PRD-006","Ordonnancement (plus tôt / plus tard)","Ordonnancement automatique et manuel ; règles de priorité configurables","Must Have","13","39","Phase 5","production,scheduling,operations"
"Production - MRP II","PRD-007","Gestion des capacités (RCCP et CRP)","Tableau de charge par centre ; détection surcharges ; nivellement semi-automatique","Must Have","13","39","Phase 5","production,capacity,crp"
"Production - MRP II","PRD-008","Ordres de fabrication (OF) — cycle complet","Lancement OF ; pointage avancement ; déclaration rebuts/retouches ; clôture OF","Must Have","13","40","Phase 5","production,work-orders,manufacturing"
"Production - MRP II","PRD-009","Gestion qualité et non-conformités (CAPA)","Plans de contrôle ; saisie résultats ; NC avec actions correctives ; suivi CAPA","Must Have","13","40","Phase 5","production,quality,capa,nc"
"Production - MRP II","PRD-010","Indicateurs OEE (Overall Equipment Effectiveness)","Calcul TRS/OEE automatique depuis les OF ; tableaux de bord machines ; alertes","Must Have","8","41","Phase 5","production,oee,trs,kpi"
"Production - MRP II","PRD-011","GMAO — Maintenance préventive et corrective","Plan de maintenance préventive ; bons d'intervention ; stock pièces détachées","Should Have","13","41","Phase 5","production,maintenance,gmao"
"Production - MRP II","PRD-012","Traçabilité lot/série amont-aval","Traçabilité amont (matière première→produit fini) ; traçabilité aval (client) ; arbre","Must Have","13","42","Phase 5","production,traceability,lot,serial"
"Business Intelligence","BI-001","Data Warehouse avec modèle en étoile","Schéma étoile PostgreSQL ; tables de faits ventes/achats/finance/RH ; dimensions","Must Have","21","37","Phase 5","bi,datawarehouse,etl"
"Business Intelligence","BI-002","ETL temps réel (Airflow)","Pipelines ETL orchestrés par Airflow ; synchronisation toutes les 15 min","Must Have","13","38","Phase 5","bi,etl,airflow"
"Business Intelligence","BI-003","Moteur de tableaux de bord configurables","Drag & drop widgets ; sauvegarde par utilisateur ; partage de dashboards","Must Have","21","39","Phase 5","bi,dashboard,widgets"
"Business Intelligence","BI-004","Rapports ad hoc avec générateur visuel","Sélection champs ; filtres dynamiques ; regroupements ; export Excel/PDF/CSV","Must Have","13","40","Phase 5","bi,reports,ad-hoc"
"Business Intelligence","BI-005","Alertes et seuils KPI configurables","Définition seuils par KPI ; notifications email/SMS/Slack ; historique alertes","Must Have","8","41","Phase 5","bi,alerts,kpi"
"Business Intelligence","BI-006","Machine Learning — Prévisions de ventes","Modèle Prophet/LSTM sur historique ventes ; horizon 3 mois ; courbe IC 95%","Should Have","13","41","Phase 5","bi,ml,forecast,prophet"
"Business Intelligence","BI-007","Détection d'anomalies financières (ML)","Modèle Isolation Forest sur flux financiers ; alertes fraude/erreur ; revue mensuelle","Should Have","13","42","Phase 5","bi,ml,anomaly-detection,finance"
"Business Intelligence","BI-008","API données pour outils tiers (Power BI, Tableau)","Endpoint REST /api/data/* ; authentification API key ; documentation Swagger","Must Have","8","42","Phase 5","bi,api,powerbi,tableau"
"Gestion de Projets","PROJ-001","Création projets avec WBS (10 niveaux)","Structure WBS jusqu'à 10 niveaux ; codes WBS ; jalons ; livrables","Must Have","13","37","Phase 5","projects,wbs,planning"
"Gestion de Projets","PROJ-002","Planning Gantt interactif","Gantt avec dépendances FS/SS/FF/SF ; chemin critique calculé ; drag & drop","Must Have","21","38","Phase 5","projects,gantt,scheduling"
"Gestion de Projets","PROJ-003","Gestion des ressources et affectations","Affectation ressources aux tâches ; vue disponibilités ; nivelage semi-automatique","Must Have","13","39","Phase 5","projects,resources,assignments"
"Gestion de Projets","PROJ-004","Suivi EVM (Earned Value Management)","Calcul BCWS, BCWP, ACWP, SPI, CPI ; prévision PAT automatique ; graphiques","Must Have","13","40","Phase 5","projects,evm,performance"
"Gestion de Projets","PROJ-005","Gestion budgets projets","Budget initial ; engagements ; dépenses réelles ; alertes % consommation","Must Have","8","41","Phase 5","projects,budget,cost"
"Gestion de Projets","PROJ-006","Gestion documentaire projets (versioning)","Upload documents ; versioning ; workflow de validation ; accès par rôle","Must Have","8","42","Phase 5","projects,documents,versioning"
"Gestion de Projets","PROJ-007","Portail projet client sécurisé","Accès client aux livrables, planning et avancement ; commentaires ; validations","Should Have","8","42","Phase 5","projects,client-portal"
"Gestion de Projets","PROJ-008","Tableau de bord PMO multi-projets","Vue consolidée N projets ; heat map risques ; alertes de retard ; export PPT","Should Have","8","42","Phase 5","projects,pmo,dashboard"
"Intégrations","INT-001","Intégration banques EBICS T/TS","Connexion EBICS 3.0 ; import relevés MT940 ; envoi PAIN.001 ; retours PAIN.002","Must Have","21","43","Phase 6","integration,banking,ebics"
"Intégrations","INT-002","EDI EDIFACT — ORDERS, DESADV, INVOIC","Parsing et génération messages EDIFACT ; mapping vers entités ERP ; logs erreurs","Must Have","13","43","Phase 6","integration,edi,edifact"
"Intégrations","INT-003","Connecteur Microsoft 365 (SSO + Outlook)","SSO Azure AD complet ; sync calendrier, contacts, emails Outlook ; webhooks events","Must Have","13","44","Phase 6","integration,microsoft365,outlook"
"Intégrations","INT-004","Connecteur Google Workspace","OAuth2 Google ; sync Google Calendar et contacts ; Drive pour documents","Should Have","8","44","Phase 6","integration,google,gmail"
"Intégrations","INT-005","Webhooks Slack / Teams","Notifications ERP vers canaux Slack/Teams ; commandes slash basiques","Should Have","5","44","Phase 6","integration,slack,teams"
"Intégrations","INT-006","APIs marketplaces (Amazon, Cdiscount)","Sync catalogue produits ; import commandes ; mise à jour stock en temps réel","Could Have","13","45","Phase 6","integration,ecommerce,marketplace"
"Intégrations","INT-007","Connexion transporteurs (DHL, Chronopost, FedEx)","APIs d'édition d'étiquettes ; tracking automatique ; tarification à la volée","Must Have","8","45","Phase 6","integration,shipping,carriers"
"Intégrations","INT-008","Import/export SAP/Sage legacy (ETL migration)","Scripts de migration des données historiques ; validation ; rapport des anomalies","Must Have","13","45","Phase 6","integration,migration,legacy,etl"
